Chemical ID,Standardized_SMILES,Scaffold,Measurement_Value_scaled,Measurement_Value,Test,Test_Type,Test_Subject,Measurement_Type
CHEMBL5271337,COc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)cc1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.041611248381599235,4.35,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271343,COc1cccc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.041611248381599235,4.35,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271345,O=C(Nc1ccc(-c2cccc(F)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.17616936135470912,4.42,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271347,O=C(Nc1ccc(-c2cccc(Br)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.9450728640581918,4.82,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271350,Cc1ccc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c(Cl)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.0027406267609518,4.85,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271352,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.1949665024368232,4.95,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271354,Cc1cc(C)cc(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,0.8681825137878435,4.78,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271356,O=C(Nc1ccc(-c2cc(Cl)cc(Cl)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.1949665024368232,4.95,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271358,O=C(Nc1ccc(-c2cc(I)cc(I)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.9638700051403042,5.35,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271360,Cc1cc(C)c(Cl)c(-c2ccc(NC(=O)c3cc4sc(N5CCOCC5)nc4s3)cc2)c1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.0027406267609518,4.85,Physicochem,ClogP,Not specified,Not specified
CHEMBL5271362,O=C(Nc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1)c1cc2sc(N3CCOCC3)nc2s1,O=C(Nc1ccc(-c2ccccc2)cc1)c1cc2sc(N3CCOCC3)nc2s1,1.387192378112693,5.05,Physicochem,ClogP,Not specified,Not specified
